title,author,price,edition,publish_date,item_url,image_url,category,released_year
The Nameless Ones,John Connolly,16.86                             ,Hardback,08 Jul 2021,https://www.bookdepository.com/Nameless-Ones-John-Connolly/9781529398342?ref=grid-view&qid=1630182826837&sr=1-67,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5293/9781529398342.jpg,Thriller,2021
Every Dead Thing,John Connolly,14.54,Paperback,18 Feb 2010,https://www.bookdepository.com/Every-Dead-Thing-John-Connolly/9781444704686?ref=grid-view&qid=1630182826837&sr=1-68,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444704686.jpg,Thriller,2010
Conclave,Robert Harris,17.50,Paperback,14 Sep 2020,https://www.bookdepository.com/Conclave-Robert-Harris/9781784751838?ref=grid-view&qid=1630182826837&sr=1-69,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784751838.jpg,Thriller,2020
The Law of Innocence,Michael Connelly,15.48,Paperback,13 May 2021,https://www.bookdepository.com/Law-Innocence-Michael-Connelly/9781409186120?ref=grid-view&qid=1630182826837&sr=1-70,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409186120.jpg,Thriller,2021
Shadows in Death: An Eve Dallas thriller (Book 51),J. D. Robb,21.48,Paperback,22 Sep 2020,https://www.bookdepository.com/Shadows-Death-Eve-Dallas-thriller-Book-51-J-D-Robb/9780349422121?ref=grid-view&qid=1630182826837&sr=1-71,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3494/9780349422121.jpg,Thriller,2020
The Cartel,Don Winslow,18.14,Paperback,16 Jun 2016,https://www.bookdepository.com/Cartel-Don-Winslow/9781784750640?ref=grid-view&qid=1630182826837&sr=1-72,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784750640.jpg,Thriller,2016
The Night Stalker,Chris Carter,13.04                             ,Paperback,28 Nov 2020,https://www.bookdepository.com/Night-Stalker-Chris-Carter/9780857202970?ref=grid-view&qid=1630182826837&sr=1-73,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8572/9780857202970.jpg,Thriller,2020
The Chain,Adrian McKinty,8.66                             ,Paperback,05 Mar 2020,https://www.bookdepository.com/Chain-Adrian-McKinty/9781409189602?ref=grid-view&qid=1630182826837&sr=1-74,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409189602.jpg,Thriller,2020
The Law of Innocence,Michael Connelly,22.40,Paperback,10 Nov 2020,https://www.bookdepository.com/Law-Innocence-Michael-Connelly/9781409186113?ref=grid-view&qid=1630182826837&sr=1-75,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409186113.jpg,Thriller,2020
Prussian Blue,Philip Kerr,15.56,Paperback,05 Oct 2017,https://www.bookdepository.com/Prussian-Blue-Philip-Kerr/9781784296513?ref=grid-view&qid=1630182826837&sr=1-76,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7842/9781784296513.jpg,Thriller,2017
